Player,Year,Pos,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Team
Aaron Hicks,2023,OF,35,78,312,269,44,68,9,1,8,36,6,0,42,69,0,1,0,0.253,0.353,0.383,0.736,LAA
Aaron Judge,2023,OF,32,115,458,367,79,98,16,0,37,75,3,1,88,130,0,3,0,0.267,0.406,0.613,1.0190000000000001,NYY
Adam Duvall,2023,OF,36,89,353,320,45,79,24,2,21,58,4,0,22,110,0,5,6,0.247,0.303,0.531,0.8340000000000001,ATL
Adam Frazier,2023,2B,33,113,450,412,59,99,21,2,13,60,11,4,32,68,4,2,4,0.24,0.3,0.396,0.696,KC
Adley Rutschman,2023,C,27,162,687,588,84,163,31,1,20,80,1,2,92,101,0,5,2,0.277,0.374,0.435,0.8089999999999999,BAL
Adolis Garcia,2023,OF,31,158,632,555,108,136,29,0,39,107,9,1,65,175,0,6,6,0.245,0.328,0.508,0.8360000000000001,TEX
Akil Baddoo,2023,OF,26,89,355,312,40,68,13,1,11,34,14,3,42,89,2,1,0,0.218,0.31,0.372,0.6819999999999999,DET
Alan Trejo,2023,SS,28,57,226,207,24,48,11,0,4,26,5,1,16,51,1,2,1,0.232,0.288,0.343,0.631,COL
Alec Bohm,2023,3B,28,153,611,558,74,153,31,0,20,97,4,1,42,94,0,6,5,0.274,0.327,0.437,0.764,PHI
Alec Burleson,2023,OF,26,86,343,315,34,77,20,1,8,36,3,1,23,45,1,2,3,0.244,0.3,0.39,0.69,STL
Aledmys Diaz,2023,SS,34,86,343,315,25,72,20,1,4,24,1,0,17,66,1,4,7,0.229,0.28,0.337,0.617,HOU
Alejandro Kirk,2023,C,26,106,422,372,34,93,16,0,8,43,0,0,42,45,0,2,6,0.25,0.334,0.358,0.692,TOR
Alek Thomas,2023,OF,24,100,400,374,51,86,17,5,9,39,9,1,19,86,2,3,4,0.23,0.272,0.374,0.646,ARI
Alex Bregman,2023,3B,30,162,724,622,103,163,28,4,25,98,3,1,92,87,0,2,8,0.262,0.363,0.441,0.804,HOU
Alex Call,2023,OF,30,109,436,375,43,75,14,1,8,38,9,8,53,78,3,2,6,0.2,0.307,0.307,0.614,WSH
Alex Kirilloff,2023,OF,27,80,319,281,35,76,14,1,11,41,1,0,28,80,0,3,7,0.27,0.348,0.445,0.7929999999999999,MIN
Alex Verdugo,2023,OF,28,151,602,546,81,144,37,5,13,54,5,3,45,93,0,5,6,0.264,0.324,0.421,0.745,NYY
Alika Williams,2023,SS,25,28,111,101,7,20,5,0,0,6,0,0,9,35,1,0,1,0.198,0.27,0.248,0.518,PIT
Amed Rosario,2023,2B,29,137,545,510,70,134,25,8,6,58,15,2,29,99,0,3,3,0.263,0.305,0.378,0.683,LAD
Andres Gimenez,2023,2B,26,153,612,557,76,140,27,5,15,62,30,6,32,112,4,3,20,0.251,0.314,0.399,0.7130000000000001,CLE
Andrew Benintendi,2023,OF,30,155,620,562,72,147,34,2,5,45,13,2,52,89,1,3,3,0.262,0.326,0.356,0.6819999999999999,CWS
Andrew Knizner,2023,C,30,60,240,224,30,54,11,0,10,31,2,0,12,62,1,1,3,0.241,0.288,0.424,0.712,TEX
Andrew McCutchen,2023,DH,38,119,473,390,55,100,19,0,12,43,11,3,75,100,0,4,4,0.256,0.378,0.397,0.775,PIT
Andrew Vaughn,2023,1B,26,154,615,566,67,146,30,2,21,80,0,0,36,129,0,2,11,0.258,0.314,0.429,0.743,CWS
Andruw Monasterio,2023,2B,27,79,315,282,38,73,14,1,3,27,7,2,28,66,0,2,3,0.259,0.33,0.348,0.6779999999999999,MIL
Andy Ibanez,2023,2B,31,96,382,356,42,94,23,2,11,41,1,0,24,69,1,1,1,0.264,0.312,0.433,0.745,DET
Anthony Rendon,2023,3B,34,46,183,148,23,35,6,0,2,22,2,0,25,27,0,4,6,0.236,0.361,0.318,0.679,LAA
Anthony Rizzo,2023,1B,35,106,421,373,45,91,14,0,12,41,0,3,35,97,0,1,12,0.244,0.328,0.378,0.706,NYY
Anthony Santander,2023,OF,30,162,656,591,81,152,41,1,28,95,5,1,55,152,0,4,6,0.257,0.325,0.472,0.7969999999999999,BAL
Anthony Volpe,2023,SS,23,150,600,541,62,113,23,4,21,60,24,5,52,167,1,2,5,0.209,0.283,0.383,0.6659999999999999,NYY
Austin Barnes,2023,C,35,50,199,178,15,32,5,0,2,11,2,1,17,43,1,2,2,0.18,0.256,0.242,0.498,LAD
Austin Hays,2023,OF,29,142,566,520,76,143,36,2,16,67,5,1,38,141,0,5,3,0.275,0.325,0.444,0.769,PHI
Austin Hedges,2023,C,32,51,201,185,14,34,5,0,1,16,1,0,11,47,10,3,2,0.184,0.234,0.227,0.461,CLE
Austin Riley,2023,3B,27,162,715,636,117,179,32,3,37,97,3,1,59,172,0,11,9,0.281,0.345,0.516,0.861,ATL
Austin Slater,2023,OF,32,52,207,185,24,50,9,0,5,20,2,2,20,58,0,0,2,0.27,0.348,0.4,0.748,CIN
Austin Wynns,2023,C,34,36,142,130,11,27,6,0,1,10,1,0,9,39,3,1,2,0.208,0.268,0.277,0.545,CIN
Avisail Garcia,2023,OF,33,29,116,108,8,20,3,1,3,12,2,0,6,39,0,0,2,0.185,0.241,0.315,0.556,MIA
Billy McKinney,2023,OF,30,37,147,128,19,29,3,1,6,14,1,0,17,39,0,1,1,0.227,0.32,0.406,0.726,PIT
Blake Perkins,2023,OF,28,42,166,143,28,31,7,0,4,20,5,2,23,46,2,0,0,0.217,0.325,0.35,0.675,MIL
